Antibody_ID	FullyValidated	184A1	184B5	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF10A	MCF10F	MCF12A	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	T47D	UACC812	ZR7530	ZR75B
EIF4EBP1	Yes	-0.514510779	0.865464622	0.189235242	-2.170980692	-0.174486894	-0.601992586	1.873273287	1.291872833	0.821711632	-1.104066724	-0.201783784	-0.32823881	0.256504002	1.004021758	-0.413644121	-1.168292531	-1.357339229	0.559681049	0.565156512	-0.963066464	0.646197416	-0.700345741	-0.343854219	0.503287613	0.099394782	-0.032467117	-0.788710844	-0.278508562	0.927415855	0.164190921	-0.026912195	-0.609071899	0.946271664	-0.433204649	-0.472672487	-0.615093899	0.331034482	1.018798719	-0.130676677	-0.142189273	-1.218339116	0.528268123
EIF4EBP1-p37	Yes	-0.602367869	0.021477957	-0.69107255	-0.711502515	0.050302121	-0.727637278	1.860427778	0.902825769	1.1846978	-0.5172039	-0.509339152	0.214603222	0.920616969	1.03583085	-0.316257086	-0.459859344	-0.656912831	0.976307227	0.887791018	-0.023757969	0.383408037	-0.264830476	0.030962144	-0.173006738	-0.121777458	-0.616139807	-1.020101542	-0.321489212	0.828581223	0.199319609	-0.037213297	-0.420126093	0.791131775	-0.005829959	-0.24326258	-0.380743731	0.137824758	0.342863538	-0.173992679	-0.004845339	-1.658295135	0.481164108
EIF4EBP1-p65	No	-0.346250522	-0.128968793	-0.561238339	-0.194757597	0.297101775	-1.170716024	1.932949332	0.624225892	1.174825459	-0.113209007	-0.815037645	-0.026595654	0.531992798	0.84286723	0.014279088	-0.002082412	-0.514578559	0.915089796	0.52882553	-0.477001469	0.538946032	-0.100600233	-0.139886124	0.201629764	-0.348073782	-0.507244779	-0.684415073	-0.603763782	0.511041527	-0.077760535	0.274665675	-0.219338237	0.58013145	-0.066571503	0.048066606	-0.321065889	-0.034987215	0.444332732	-0.470382226	-0.066284019	-1.770286362	0.498161767
NCOA3	No	0.025026201	0.268659722	-0.153392526	0.064824465	0.621606945	1.250591297	-0.3907563	-0.360277633	0.960993916	-0.339479071	-0.14643868	-0.047645045	-0.61372958	-0.168940786	1.353278865	0.857756032	1.094066851	0.163812572	1.132044529	-0.991313963	-0.803499515	-0.600104779	-0.452774768	1.072946112	0.589574241	-0.470931692	-0.048416366	1.502209029	0.051824986	-0.263410039	-0.969847418	-0.176047402	0.387834336	0.697016346	-0.770547453	0.944206411	0.016032451	-0.345707745	-0.332917921	-0.438184259	-0.388888647	0.143692739
AKT1,AKT2,AKT3	Yes	0.51409191	-0.04166433	0.648638351	0.675826768	-1.710498618	0.774296766	0.318280968	-1.096268085	-0.08898824	1.690205427	-0.262137468	0.408099158	0.081790588	-0.562006796	-0.789058162	-0.707744586	-1.276037015	0.653326001	-0.297999023	-0.865673134	-0.809794012	-1.26922506	-1.041708501	0.818679685	0.42777797	-0.535847426	-0.296670773	0.717517849	1.907090902	0.308644338	0.99547239	0.470306876	1.434146435	0.442900006	-0.060513951	-0.22559349	-1.572424334	-0.210855428	0.204694646	0.360488367	0.939849739	1.346550157
AKT1-p308,AKT2-p308,AKT3-p308	Yes	-1.007595873	0.030732729	-0.994399146	0.109368935	1.881317874	0.190089631	-0.823498235	1.370874185	-0.748850469	0.058626824	2.884958762	0.30567677	-1.110431501	1.235545773	0.236747998	1.045298536	1.509888374	-0.180630189	0.792431016	3.406504028	-0.603575916	0.872274699	1.203566782	-1.012812089	-1.088615153	-1.267730797	-1.023840156	-1.3860912	-1.213258941	-1.249045577	-1.271442599	0.765141696	-0.805320588	0.347552385	-1.113640621	1.710501079	0.693815658	0.963362511	0.173767162	-1.722329154	-1.390531483	1.221892763
AKT1-p473,AKT2-p473,AKT3-p473	Yes	0.37585775	1.386861304	-2.063607644	-0.809140854	1.972793491	1.559213628	-2.247864938	1.804682374	0.412369853	0.334237332	2.978992765	1.001060703	-3.910464143	1.80843211	-1.510131163	1.215455005	2.251319072	0.737530048	1.652784019	3.063418508	-0.530417558	1.107838647	1.935620185	-1.019073039	-1.697296611	0.481198255	-1.192823601	-1.316525423	-2.058921243	-3.129692859	-0.940367945	1.885195876	-0.901061076	-0.236139154	-3.321603372	2.800088096	0.641431491	1.483736313	0.180168781	-0.925502036	-0.629348635	1.766944293
PRKAA1	No	-0.859534039	0.013433122	0.19989867	-0.602520845	-0.014486532	0.368073757	-0.275522251	-0.383231049	0.080156197	-0.500191857	-0.753955054	-0.126418624	-0.175960453	-0.154024736	0.086217251	0.091926457	-0.218689509	0.557066796	0.805319076	0.478165015	0.119379249	-0.433183392	-0.00926617	-0.275635026	0.251803545	0.370509505	-0.079296327	-0.440228701	0.30031896	-0.036153641	-0.187302572	0.567037924	-0.325705099	0.159896138	-0.936961634	0.263685959	-0.734034666	-0.007978693	0.652856425	-0.143340173	1.045745169	0.051783416
PRKAA1-p	Yes	-0.448718138	0.014485969	-0.567514943	-0.741850096	-1.019570166	0.861602148	-0.665981188	-0.59257299	-0.387424693	0.64094457	0.03199673	-0.499008064	-0.216849683	0.048930991	-0.301135736	-0.269305622	-0.562244049	1.404103735	0.157945842	1.183920756	0.345462095	-0.766053439	-0.286146739	0.442027106	0.36500694	-1.021348725	0.127139113	0.850932295	1.360860164	-0.373954506	0.669425806	-0.116478023	-0.61251478	-0.565723802	-0.474376034	-0.698018947	-0.289817281	-0.62808221	0.666376152	0.685739758	0.300035589	0.175387901
CTNNB1	Yes	1.321012072	0.952219302	1.222185438	-3.916896522	1.18725522	0.564034995	-0.527565748	0.712315263	-1.77807825	0.92045472	0.329068493	0.126468645	-0.437721534	0.357027046	1.346860216	0.776962367	1.026874751	0.538492678	-3.726514556	0.837080619	1.511438803	0.882364444	0.124186284	0.443345068	0.558654859	0.712464521	-0.502736359	-0.27104283	0.017251523	-1.126258742	0.846983307	-0.106025424	-3.907303364	-3.779455617	0.273269029	1.461693082	0.251566436	2.235154096	0.430123086	-0.377789052	-2.751091823	0.788599673
