pathway,name,entrez
hsa03320,PPAR signaling pathway - Homo sapiens (human),948
hsa03320,PPAR signaling pathway - Homo sapiens (human),376497
hsa03320,PPAR signaling pathway - Homo sapiens (human),10999
hsa03320,PPAR signaling pathway - Homo sapiens (human),11001
hsa03320,PPAR signaling pathway - Homo sapiens (human),10998
hsa03320,PPAR signaling pathway - Homo sapiens (human),28965
hsa03320,PPAR signaling pathway - Homo sapiens (human),2168
hsa03320,PPAR signaling pathway - Homo sapiens (human),2169
hsa03320,PPAR signaling pathway - Homo sapiens (human),2170
hsa03320,PPAR signaling pathway - Homo sapiens (human),2167
hsa03320,PPAR signaling pathway - Homo sapiens (human),2171
hsa03320,PPAR signaling pathway - Homo sapiens (human),2172
hsa03320,PPAR signaling pathway - Homo sapiens (human),2173
hsa03320,PPAR signaling pathway - Homo sapiens (human),5465
hsa03320,PPAR signaling pathway - Homo sapiens (human),6256
hsa03320,PPAR signaling pathway - Homo sapiens (human),6257
hsa03320,PPAR signaling pathway - Homo sapiens (human),6258
hsa03320,PPAR signaling pathway - Homo sapiens (human),5467
hsa03320,PPAR signaling pathway - Homo sapiens (human),5468
hsa03320,PPAR signaling pathway - Homo sapiens (human),335
hsa03320,PPAR signaling pathway - Homo sapiens (human),336
hsa03320,PPAR signaling pathway - Homo sapiens (human),345
hsa03320,PPAR signaling pathway - Homo sapiens (human),116519
hsa03320,PPAR signaling pathway - Homo sapiens (human),5360
hsa03320,PPAR signaling pathway - Homo sapiens (human),9415
hsa03320,PPAR signaling pathway - Homo sapiens (human),6319
hsa03320,PPAR signaling pathway - Homo sapiens (human),79966
hsa03320,PPAR signaling pathway - Homo sapiens (human),1581
hsa03320,PPAR signaling pathway - Homo sapiens (human),1582
hsa03320,PPAR signaling pathway - Homo sapiens (human),10062
hsa03320,PPAR signaling pathway - Homo sapiens (human),1593
hsa03320,PPAR signaling pathway - Homo sapiens (human),1622
hsa03320,PPAR signaling pathway - Homo sapiens (human),4023
hsa03320,PPAR signaling pathway - Homo sapiens (human),23305
hsa03320,PPAR signaling pathway - Homo sapiens (human),2182
hsa03320,PPAR signaling pathway - Homo sapiens (human),2180
hsa03320,PPAR signaling pathway - Homo sapiens (human),51703
hsa03320,PPAR signaling pathway - Homo sapiens (human),2181
hsa03320,PPAR signaling pathway - Homo sapiens (human),23205
hsa03320,PPAR signaling pathway - Homo sapiens (human),81616
hsa03320,PPAR signaling pathway - Homo sapiens (human),4973
hsa03320,PPAR signaling pathway - Homo sapiens (human),1962
hsa03320,PPAR signaling pathway - Homo sapiens (human),30
hsa03320,PPAR signaling pathway - Homo sapiens (human),6342
hsa03320,PPAR signaling pathway - Homo sapiens (human),8310
hsa03320,PPAR signaling pathway - Homo sapiens (human),51
hsa03320,PPAR signaling pathway - Homo sapiens (human),8309
hsa03320,PPAR signaling pathway - Homo sapiens (human),1374
