pathway,name,entrez,hgnc
hsa03320,PPAR signaling pathway - Homo sapiens (human),948,CD36
hsa03320,PPAR signaling pathway - Homo sapiens (human),376497,SLC27A1
hsa03320,PPAR signaling pathway - Homo sapiens (human),10999,SLC27A4
hsa03320,PPAR signaling pathway - Homo sapiens (human),11001,SLC27A2
hsa03320,PPAR signaling pathway - Homo sapiens (human),10998,SLC27A5
hsa03320,PPAR signaling pathway - Homo sapiens (human),28965,SLC27A6
hsa03320,PPAR signaling pathway - Homo sapiens (human),2168,FABP1
hsa03320,PPAR signaling pathway - Homo sapiens (human),2169,FABP2
hsa03320,PPAR signaling pathway - Homo sapiens (human),2170,FABP3
hsa03320,PPAR signaling pathway - Homo sapiens (human),2167,FABP4
hsa03320,PPAR signaling pathway - Homo sapiens (human),2171,FABP5
hsa03320,PPAR signaling pathway - Homo sapiens (human),2172,FABP6
hsa03320,PPAR signaling pathway - Homo sapiens (human),2173,FABP7
hsa03320,PPAR signaling pathway - Homo sapiens (human),5465,PPARA
hsa03320,PPAR signaling pathway - Homo sapiens (human),6256,RXRA
hsa03320,PPAR signaling pathway - Homo sapiens (human),6257,RXRB
hsa03320,PPAR signaling pathway - Homo sapiens (human),6258,RXRG
hsa03320,PPAR signaling pathway - Homo sapiens (human),5467,PPARD
hsa03320,PPAR signaling pathway - Homo sapiens (human),5468,PPARG
hsa03320,PPAR signaling pathway - Homo sapiens (human),335,APOA1
hsa03320,PPAR signaling pathway - Homo sapiens (human),336,APOA2
hsa03320,PPAR signaling pathway - Homo sapiens (human),345,APOC3
hsa03320,PPAR signaling pathway - Homo sapiens (human),116519,APOA5
hsa03320,PPAR signaling pathway - Homo sapiens (human),5360,PLTP
hsa03320,PPAR signaling pathway - Homo sapiens (human),9415,FADS2
hsa03320,PPAR signaling pathway - Homo sapiens (human),6319,SCD
hsa03320,PPAR signaling pathway - Homo sapiens (human),79966,SCD5
hsa03320,PPAR signaling pathway - Homo sapiens (human),1581,CYP7A1
hsa03320,PPAR signaling pathway - Homo sapiens (human),1582,CYP8B1
hsa03320,PPAR signaling pathway - Homo sapiens (human),10062,NR1H3
hsa03320,PPAR signaling pathway - Homo sapiens (human),1593,CYP27A1
hsa03320,PPAR signaling pathway - Homo sapiens (human),1622,DBI
hsa03320,PPAR signaling pathway - Homo sapiens (human),4023,LPL
hsa03320,PPAR signaling pathway - Homo sapiens (human),23305,ACSL6
hsa03320,PPAR signaling pathway - Homo sapiens (human),2182,ACSL4
hsa03320,PPAR signaling pathway - Homo sapiens (human),2180,ACSL1
hsa03320,PPAR signaling pathway - Homo sapiens (human),51703,ACSL5
hsa03320,PPAR signaling pathway - Homo sapiens (human),2181,ACSL3
hsa03320,PPAR signaling pathway - Homo sapiens (human),23205,ACSBG1
hsa03320,PPAR signaling pathway - Homo sapiens (human),81616,ACSBG2
hsa03320,PPAR signaling pathway - Homo sapiens (human),4973,OLR1
hsa03320,PPAR signaling pathway - Homo sapiens (human),1962,EHHADH
hsa03320,PPAR signaling pathway - Homo sapiens (human),1579,CYP4A11
hsa03320,PPAR signaling pathway - Homo sapiens (human),284541,CYP4A22
hsa03320,PPAR signaling pathway - Homo sapiens (human),30,ACAA1
hsa03320,PPAR signaling pathway - Homo sapiens (human),6342,SCP2
hsa03320,PPAR signaling pathway - Homo sapiens (human),8310,ACOX3
hsa03320,PPAR signaling pathway - Homo sapiens (human),51,ACOX1
hsa03320,PPAR signaling pathway - Homo sapiens (human),8309,ACOX2
hsa03320,PPAR signaling pathway - Homo sapiens (human),1374,CPT1A
hsa03320,PPAR signaling pathway - Homo sapiens (human),1375,CPT1B
hsa03320,PPAR signaling pathway - Homo sapiens (human),126129,CPT1C
hsa03320,PPAR signaling pathway - Homo sapiens (human),1376,CPT2
hsa03320,PPAR signaling pathway - Homo sapiens (human),33,ACADL
hsa03320,PPAR signaling pathway - Homo sapiens (human),34,ACADM
hsa03320,PPAR signaling pathway - Homo sapiens (human),51129,ANGPTL4
hsa03320,PPAR signaling pathway - Homo sapiens (human),10580,SORBS1
hsa03320,PPAR signaling pathway - Homo sapiens (human),5346,PLIN1
hsa03320,PPAR signaling pathway - Homo sapiens (human),123,PLIN2
hsa03320,PPAR signaling pathway - Homo sapiens (human),729359,PLIN4
hsa03320,PPAR signaling pathway - Homo sapiens (human),440503,PLIN5
hsa03320,PPAR signaling pathway - Homo sapiens (human),9370,ADIPOQ
hsa03320,PPAR signaling pathway - Homo sapiens (human),4312,MMP1
hsa03320,PPAR signaling pathway - Homo sapiens (human),7350,UCP1
hsa03320,PPAR signaling pathway - Homo sapiens (human),3611,ILK
hsa03320,PPAR signaling pathway - Homo sapiens (human),5170,PDPK1
hsa03320,PPAR signaling pathway - Homo sapiens (human),7316,UBC
hsa03320,PPAR signaling pathway - Homo sapiens (human),5105,PCK1
hsa03320,PPAR signaling pathway - Homo sapiens (human),5106,PCK2
hsa03320,PPAR signaling pathway - Homo sapiens (human),2712,GK2
hsa03320,PPAR signaling pathway - Homo sapiens (human),2710,GK
hsa03320,PPAR signaling pathway - Homo sapiens (human),364,AQP7
hsa03320,PPAR signaling pathway - Homo sapiens (human),3158,HMGCS2
hsa03320,PPAR signaling pathway - Homo sapiens (human),4199,ME1
hsa03460,Fanconi anemia pathway - Homo sapiens (human),84126,ATRIP
hsa03460,Fanconi anemia pathway - Homo sapiens (human),545,ATR
hsa03460,Fanconi anemia pathway - Homo sapiens (human),57697,FANCM
hsa03460,Fanconi anemia pathway - Homo sapiens (human),91442,FAAP24
hsa03460,Fanconi anemia pathway - Homo sapiens (human),378708,CENPS
hsa03460,Fanconi anemia pathway - Homo sapiens (human),100526739,CENPS-CORT
hsa03460,Fanconi anemia pathway - Homo sapiens (human),201254,CENPX
hsa03460,Fanconi anemia pathway - Homo sapiens (human),9894,TELO2
hsa03460,Fanconi anemia pathway - Homo sapiens (human),3280,HES1
hsa03460,Fanconi anemia pathway - Homo sapiens (human),80233,FAAP100
hsa03460,Fanconi anemia pathway - Homo sapiens (human),2175,FANCA
hsa03460,Fanconi anemia pathway - Homo sapiens (human),2187,FANCB
hsa03460,Fanconi anemia pathway - Homo sapiens (human),2176,FANCC
hsa03460,Fanconi anemia pathway - Homo sapiens (human),2178,FANCE
hsa03460,Fanconi anemia pathway - Homo sapiens (human),2188,FANCF
hsa03460,Fanconi anemia pathway - Homo sapiens (human),2189,FANCG
hsa03460,Fanconi anemia pathway - Homo sapiens (human),55120,FANCL
hsa03460,Fanconi anemia pathway - Homo sapiens (human),57599,WDR48
hsa03460,Fanconi anemia pathway - Homo sapiens (human),7398,USP1
hsa03460,Fanconi anemia pathway - Homo sapiens (human),29089,UBE2T
hsa03460,Fanconi anemia pathway - Homo sapiens (human),55215,FANCI
hsa03460,Fanconi anemia pathway - Homo sapiens (human),2177,FANCD2
hsa03460,Fanconi anemia pathway - Homo sapiens (human),675,BRCA2
hsa03460,Fanconi anemia pathway - Homo sapiens (human),79728,PALB2
